"Archivo","Lineas"
"features\catalogo\components\gest-productos\VariantesMasDropdown.jsx","83"
"shared\components\public-navbar\BuscadorNavbar.jsx","83"
"features\ventas\components\pedidos-ventas\ClienteAutocomplete.jsx","82"
"features\catalogo\pages\Colores.responsive.css","81"
"features\dashboard\components\dashboard\BajoStockTable.jsx","80"
"features\catalogo\components\catalogo-admin\ProductoCard.jsx","78"
"features\dashboard\components\dashboard\StatsGrid.jsx","77"
"features\ventas\components\pedidos\PedidosTable.jsx","74"
"features\dashboard\components\dashboard\UltimasVentasCard.jsx","73"
"features\pagos\components\pagos-abonos\PagosTable.jsx","73"
"features\ventas\components\pedidos-ventas\OrigenFilterToggle.jsx","72"
"features\catalogo\components\gest-variantes\EditorNuevas.jsx","71"
"features\ventas\components\pedidos\PedidoDetalleModal.jsx","70"
"features\ventas\components\pedidos-ventas\VentaDetalleModal.jsx","70"
"features\proveedores\components\proveedores\ProveedoresTable.jsx","70"
"features\clientes\components\clientes\ClienteFormSteps.jsx","70"
"features\compras\utils\comprasHelpers.js","70"
"features\ventas\components\payment-modal\PendienteView.jsx","69"
"features\catalogo\components\gest-productos\CategoriasTable.jsx","67"
"shared\pages\NotFound.css","67"
"features\dashboard\components\dashboard\SalesBarChart.jsx","66"
"features\catalogo\components\gest-productos\ColorFormModal.jsx","66"
"features\catalogo\components\detalle-producto\Galeria.jsx","66"
"features\clientes\components\mi-cuenta\PedidoCard.jsx","64"
"features\catalogo\components\catalogo-admin\VistaRapidaModal.jsx","62"
"features\catalogo\components\catalogo-admin\FiltrosBar.jsx","58"
"features\ventas\components\payment-modal\paymentModalIcons.jsx","58"
"shared\components\ExportButtons.jsx","58"
"features\clientes\components\clientes\ClientesTable.jsx","58"
"features\catalogo\components\colores\ColoresTable.jsx","57"
"features\catalogo\components\detalle-producto\detalleProductoIcons.jsx","54"
"features\pagos\components\pagos-abonos\MetodosPagoModal.jsx","54"
"features\usuarios\components\usuarios\UsuariosTable.jsx","54"
"features\ventas\components\PaymentModal.jsx","52"
"features\catalogo\components\gest-productos\CategoriaDetalleModal.jsx","52"
"features\catalogo\components\gest-productos\ColoresGrid.jsx","52"
"features\ventas\utils\pedidosVentasHelpers.js","51"
"features\auth\components\registro\SeguridadFields.jsx","51"
"features\catalogo\utils\gestProductosHelpers.jsx","50"
"features\catalogo\components\colores\ColorFormSteps.jsx","50"
"features\catalogo\components\gest-productos\CategoriaFormModal.jsx","50"
"features\dashboard\components\dashboard\DonutChart.jsx","49"
"features\usuarios\components\usuarios\ClientesTable.jsx","49"
"features\proveedores\components\proveedores\ProveedorDetalleModal.jsx","49"
"features\usuarios\components\usuarios\UsuarioDetalleModal.jsx","49"
"features\dashboard\components\dashboard\ClientesRecientesCard.jsx","49"
"features\dashboard\utils\dashboardHelpers.js","48"
"features\roles\components\roles\ConfirmEstadoModal.jsx","48"
"features\usuarios\components\usuarios\ClienteDetalleModal.jsx","48"
"features\usuarios\utils\usuariosHelpers.js","47"
"features\clientes\components\mi-cuenta\PerfilCard.jsx","47"
"shared\contexts\ToastContext.jsx","47"
"shared\components\Toast.css","47"
"features\catalogo\components\catalogo\CatalogoToolbar.jsx","47"
"features\pagos\components\pagos-abonos\PagoDetalleModal.jsx","46"
"features\proveedores\utils\proveedoresHelpers.js","44"
"features\clientes\utils\miCuentaHelpers.js","42"
"shared\components\galeria-imagenes\GruposImagenes.jsx","42"
"features\dashboard\components\dashboard\BalanceCard.jsx","42"
"shared\components\public-navbar\CategoriasMenu.jsx","42"
"features\auth\components\registro\DatosPersonalesFields.jsx","42"
"features\clientes\components\mi-cuenta\EstadoCuentaCard.jsx","41"
"shared\components\public-navbar\AccionesNavbar.jsx","41"
"features\dashboard\components\dashboard\VentasMensualesCard.jsx","41"
"shared\contexts\ConfirmContext.jsx","41"
"features\auth\components\registro\icons.jsx","41"
"shared\components\Icons.jsx","41"
"features\catalogo\components\catalogo\CatalogoHero.jsx","39"
"shared\components\ConfirmModal.jsx","39"
"features\clientes\components\mi-cuenta\PedidosSection.jsx","39"
"features\checkout\utils\checkoutHelpers.js","38"
"features\checkout\components\checkout\MiniCalendario.jsx","38"
"shared\contexts\AuthContext.jsx","37"
"shared\components\ProtectedRoute.jsx","36"
"features\catalogo\components\catalogo-admin\icons.jsx","36"
"features\catalogo\components\catalogo-admin\KpiGrid.jsx","36"
"shared\components\Toast.jsx","34"
"features\ventas\utils\paymentModalHelpers.js","34"
"features\checkout\components\checkout\StockAlerta.jsx","33"
"features\catalogo\components\gest-variantes\ChipsColorList.jsx","33"
"features\dashboard\components\dashboard\TopProductosCard.jsx","33"
"shared\components\ExportButtons.css","33"
"features\ventas\utils\pedidosHelpers.js","32"
"features\checkout\components\checkout\OpcionesPago.jsx","32"
"shared\services\api.js","31"
"shared\components\PublicLayout.jsx","31"
"features\checkout\components\checkout\ProductosList.jsx","31"
"features\dashboard\components\dashboard\ComprasMensualesCard.jsx","31"
"features\clientes\utils\clientesHelpers.js","30"
"shared\utils\galeriaImagenesHelpers.js","30"
"shared\components\Layout.jsx","30"
"features\clientes\components\clientes\ClienteDetalleSteps.jsx","29"
"features\clientes\components\mi-cuenta\TodosPedidosModal.jsx","29"
"features\auth\utils\registroHelpers.js","28"
"features\catalogo\components\detalle-producto\PreviewOverlay.jsx","28"
"features\catalogo\utils\catalogoHelpers.js","27"
"features\catalogo\utils\detalleProductoHelpers.js","27"
"features\catalogo\components\catalogo\CatalogoFooter.jsx","26"
"shared\components\Loader.css","24"
"features\pagos\utils\pagosAbonosHelpers.js","23"
"features\auth\components\registro\Field.jsx","22"
"features\auth\components\registro\ContactoFields.jsx","22"
"features\catalogo\components\gest-variantes\icons.jsx","20"
"shared\components\PublicLayout.css","18"
"features\checkout\components\checkout\CuotasCalendario.jsx","18"
"shared\pages\NotFound.jsx","17"
"shared\utils\permisos.js","16"
"features\catalogo\utils\coloresHelpers.js","15"
"features\catalogo\components\colores\ColoresGrid.jsx","15"
"features\catalogo\components\catalogo-admin\ChipsCategoria.jsx","15"
"features\clientes\components\mi-cuenta\miCuentaIcons.jsx","13"
"shared\components\public-navbar\icons.jsx","12"
"features\dashboard\components\dashboard\RangoTexto.jsx","12"
"features\catalogo\utils\gestVariantesHelpers.js","12"
"features\ventas\components\pedidos\icons.jsx","10"
"main.jsx","10"
"shared\components\Loader.jsx","9"
"features\catalogo\utils\catalogoAdminHelpers.js","5"
"App.jsx","5"
"shared\components\galeria-imagenes\icons.jsx","5"
"shared\utils\publicNavbarHelpers.js","4"
"shared\assets\logoBase64.js","2"
